model,MAE,RMSE,MAPE_%
Persistence,0.05108333333333335,0.06462520148260019,1.832566321304419
Ridge,0.060732905602664145,0.074733455537517,2.199884352946163
XGBoost,0.27257940459251406,0.30503502391446613,9.573083935680565
Seasonal,0.28758333333333336,0.3151962351721015,10.308382831719271
